EntrezID;EnsemblID;LogFC
2892;ENSG00000125675;1.19461862
53918;ENSG00000152684;1.199088344
491;ENSG00000157087;1.201688204
64131;ENSG00000103489;1.20618498
11141;ENSG00000169306;1.207445618
79827;ENSG00000166250;1.208843358
286;ENSG00000029534;1.209071017
219527;ENSG00000183908;1.210085681
8761;ENSG00000090621;1.214940806
650;ENSG00000125845;1.21519921
7043;ENSG00000119699;1.215583397
7447;ENSG00000163032;1.215790835
63901;ENSG00000166801;1.216151622
8911;ENSG00000100346;1.227897601
9509;ENSG00000087116;1.22865479
165215;ENSG00000144369;1.229206504
10873;ENSG00000151376;1.231006207
6678;ENSG00000113140;1.232853612
79933;ENSG00000166317;1.233577756
5733;ENSG00000050628;1.23664477
200010;ENSG00000117834;1.236704506
148756;ENSG00000236719;1.237925613
89927;ENSG00000166780;1.239384073
30846;ENSG00000024422;1.241564181
NA;ENSG00000138678;1.242513284
8821;ENSG00000109452;1.244332101
9162;ENSG00000157680;1.251127497
1837;ENSG00000134769;1.251262045
51330;ENSG00000006327;1.253648812
2116;ENSG00000105672;1.255078627
54716;ENSG00000163817;1.260492061
1191;ENSG00000120885;1.260848242
6261;ENSG00000196218;1.260983983
101927075;ENSG00000248464;1.261457016
64881;ENSG00000197991;1.262880221
3743;ENSG00000104848;1.264546632
4124;ENSG00000112893;1.26579341
100130705;ENSG00000272899;1.268213167
26053;ENSG00000158321;1.271206215
2273;ENSG00000022267;1.274070784
79930;ENSG00000146094;1.278796719
55553;ENSG00000110693;1.279124502
56849;ENSG00000182916;1.279670397
427;ENSG00000104763;1.28081209
2781;ENSG00000128266;1.28095305
22885;ENSG00000173210;1.28096171
338758;ENSG00000271614;1.281413388
2740;ENSG00000112164;1.291068729
51655;ENSG00000108551;1.294793936
4739;ENSG00000111859;1.303663699
22809;ENSG00000169136;1.304200735
643236;ENSG00000187783;1.306937586
144811;ENSG00000179630;1.30936134
84443;ENSG00000147234;1.310988559
26548;ENSG00000147166;1.311643103
142689;ENSG00000198881;1.312370876
10742;ENSG00000131831;1.313276267
94122;ENSG00000147041;1.313700325
5654;ENSG00000166033;1.31401514
59269;ENSG00000127124;1.316135237
93664;ENSG00000081803;1.317907732
102723167;ENSG00000265142;1.318336934
5947;ENSG00000114115;1.319040006
10865;ENSG00000196843;1.3196097
114571;ENSG00000149742;1.319919846
5067;ENSG00000113805;1.320547528
54504;ENSG00000106066;1.327831644
148281;ENSG00000134207;1.328672499
8140;ENSG00000103257;1.337327138
5362;ENSG00000076356;1.33752813
2791;ENSG00000127920;1.34106659
101928283;ENSG00000224897;1.341451478
340591;ENSG00000186312;1.343383782
1375;ENSG00000205560;1.343825948
345630;ENSG00000188573;1.347254842
10512;ENSG00000075223;1.349860761
7173;ENSG00000115705;1.350388245
6387;ENSG00000107562;1.351243707
26050;ENSG00000165300;1.353891499
23767;ENSG00000125848;1.355641694
1601;ENSG00000153071;1.355890446
8614;ENSG00000113739;1.355990241
30010;ENSG00000122584;1.358171112
3897;ENSG00000198910;1.364657699
54331;ENSG00000186469;1.365843325
7035;ENSG00000003436;1.367661074
65997;ENSG00000128045;1.372930132
3707;ENSG00000143772;1.378615102
4881;ENSG00000169418;1.379986089
3988;ENSG00000107798;1.380116077
1128;ENSG00000168539;1.382071386
1647;ENSG00000116717;1.383646481
2009;ENSG00000066629;1.387186885
56961;ENSG00000105251;1.387217884
23208;ENSG00000132718;1.38860394
5580;ENSG00000163932;1.390810999
54510;ENSG00000189184;1.392765706
8613;ENSG00000162407;1.39429197
57460;ENSG00000111110;1.396138419
7424;ENSG00000150630;1.3981801
27163;ENSG00000138744;1.398424324
152007;ENSG00000122694;1.399328306
490;ENSG00000070961;1.400289101
11117;ENSG00000138080;1.402914643
84436;ENSG00000167555;1.404860053
9953;ENSG00000125430;1.406085761
2842;ENSG00000183150;1.40609055
116173;ENSG00000166091;1.40656469
9355;ENSG00000106689;1.407411531
29931;ENSG00000237697;1.408448127
7490;ENSG00000184937;1.408619392
161882;ENSG00000179588;1.41131105
